STATUS | wrapper  | 2023/03/08 09:56:45 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/03/08 09:56:45 | Java Service Wrapper Standard Edition 64-bit 3.5.50
STATUS | wrapper  | 2023/03/08 09:56:45 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/03/08 09:56:45 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/03/08 09:56:45 |   Licensed to ThoughtWorks for GoCD Agent
STATUS | wrapper  | 2023/03/08 09:56:45 | 
STATUS | wrapper  | 2023/03/08 09:56:45 | Launching a JVM...
ERROR  | wrapper  | 2023/03/08 09:56:45 | Failed to set JVM input handle to non blocking mode: Bad file descriptor (9)
ERROR  | wrapper  | 2023/03/08 09:56:45 | Failed to set JVM input handle to close on JVM exit: Bad file descriptor (9)
ERROR  | wrapper  | 2023/03/08 09:56:45 | JVM exited while loading the application.
ERROR  | wrapper  | 2023/03/08 09:56:45 | Unable to set JVM's stdin: Bad file descriptor
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | --> Wrapper Started as Console
INFO   | jvm 1    | 2023/03/08 09:56:45 | ]0;go-agentwrapper  | Java Service Wrapper Standard Edition 64-bit 3.5.50
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |     http://wrapper.tanukisoftware.com
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |   Licensed to ThoughtWorks for GoCD Agent
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | 
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | Launching a JVM...
STATUS | wrapper  | 2023/03/08 09:56:50 | Launching a JVM...
INFO   | jvm 2    | 2023/03/08 09:56:50 | WrapperManager: Initializing...
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023] Starting process: 
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023]   Working directory    : /go
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023]   Application arguments: [-serverUrl, https://gocd-server:8154/go]
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023]            GoCD Version: 22.3.0-15301
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023]            Java Version: 17.0.5
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:51 GMT 2023]        Operating System: Linux(5.15.90.1-microsoft-standard-WSL2)
INFO   | jvm 2    | 2023/03/08 09:56:51 | Could not find file `config/agent-bootstrapper-logback.xml'. Attempting to load from classpath.
INFO   | jvm 2    | 2023/03/08 09:56:51 | Using classpath resource `jar:onejar:lib/agent-bootstrapper-22.3.0-15301-classes.jar!/config/agent-bootstrapper-logback.xml'.
INFO   | jvm 2    | 2023/03/08 09:56:51 | 2023-03-08 09:56:51,767 INFO  [WrapperJarAppMain] DefaultAgentLauncherCreatorImpl:67 - Attempting to load com.thoughtworks.go.agent.launcher.AgentLauncherImpl as specified by manifest key Go-Agent-Launcher-Class
INFO   | jvm 2    | 2023/03/08 09:56:51 | 2023-03-08 09:56:51,801 INFO  [WrapperJarAppMain] ParentClassAccessFilteringClassloader:43 - Loading com.thoughtworks.cruise.agent.common.launcher.AgentLauncher using java.net.URLClassLoader
INFO   | jvm 2    | 2023/03/08 09:56:51 | SLF4J: Class path contains multiple SLF4J bindings.
INFO   | jvm 2    | 2023/03/08 09:56:51 | SLF4J: Found binding in [jar:onejar:lib/logback-classic-1.2.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 2    | 2023/03/08 09:56:51 | SLF4J: Found binding in [jar:file:/go/data/deps-6c20d846f1ac6cc3-agent-launcher.jar/logback-classic-1.2.11.jar!/org/slf4j/impl/StaticLoggerBinder.class]
INFO   | jvm 2    | 2023/03/08 09:56:51 | SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
INFO   | jvm 2    | 2023/03/08 09:56:51 | SLF4J: Actual binding is of type [ch.qos.logback.classic.util.ContextSelectorStaticBinder]
INFO   | jvm 2    | 2023/03/08 09:56:51 | 2023-03-08 09:56:51,863 INFO  [WrapperJarAppMain] AgentBootstrapper:74 - Attempting create and start launcher...
INFO   | jvm 2    | 2023/03/08 09:56:51 | 2023-03-08 09:56:51,874 INFO  [WrapperJarAppMain] ParentClassAccessFilteringClassloader:43 - Loading com.thoughtworks.cruise.agent.common.launcher.AgentLaunchDescriptor using java.net.URLClassLoader
INFO   | jvm 2    | 2023/03/08 09:56:51 | Could not find file `config/agent-launcher-logback.xml'. Attempting to load from classpath.
INFO   | jvm 2    | 2023/03/08 09:56:51 | Using classpath resource `jar:file:/go/data/deps-6c20d846f1ac6cc3-agent-launcher.jar/agent-launcher-22.3.0-15301-classes.jar!/config/agent-launcher-logback.xml'.
INFO   | jvm 2    | 2023/03/08 09:56:52 | 2023-03-08 09:56:52,047 INFO  [TouchLoopThread-1] Lockfile:103 - Using lock file: /go/.agent-bootstrapper.running
INFO   | jvm 2    | 2023/03/08 09:56:53 | 2023-03-08 09:56:53,020 ERROR [WrapperJarAppMain] ServerBinaryDownloader:88 - Couldn't update admin/agent-launcher.jar. Sleeping for 1m. Error: 
INFO   | jvm 2    | 2023/03/08 09:56:53 | org.apache.http.conn.HttpHostConnectException: Connect to gocd-server:8154 [gocd-server/172.18.0.3] failed: Connection refused
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:156)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.conn.PoolingHttpClientConnectionManager.connect(PoolingHttpClientConnectionManager.java:376)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.execchain.MainClientExec.establishRoute(MainClientExec.java:393)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:236)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.execchain.ProtocolExec.execute(ProtocolExec.java:186)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.execchain.RetryExec.execute(RetryExec.java:89)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.execchain.RedirectExec.execute(RedirectExec.java:110)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.client.InternalHttpClient.doExecute(InternalHttpClient.java:185)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:83)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.apache.http.impl.client.CloseableHttpClient.execute(CloseableHttpClient.java:108)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.launcher.ServerBinaryDownloader.fetchUpdateCheckHeaders(ServerBinaryDownloader.java:104)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.launcher.ServerBinaryDownloader.downloadIfNecessary(ServerBinaryDownloader.java:80)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.launcher.AgentLauncherImpl.doLaunch(AgentLauncherImpl.java:86)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.launcher.AgentLauncherImpl.lambda$launch$0(AgentLauncherImpl.java:68)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.logging.LogConfigurator.runWithLogger(LogConfigurator.java:62)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.launcher.AgentLauncherImpl.launch(AgentLauncherImpl.java:68)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.bootstrapper.AgentBootstrapper.go(AgentBootstrapper.java:76)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.bootstrapper.AgentBootstrapper.lambda$main$0(AgentBootstrapper.java:57)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.logging.LogConfigurator.runWithLogger(LogConfigurator.java:53)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.go.agent.bootstrapper.AgentBootstrapper.main(AgentBootstrapper.java:57)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.gocd.Boot.run(Boot.java:90)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at com.thoughtworks.gocd.Boot.main(Boot.java:56)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at org.tanukisoftware.wrapper.WrapperJarApp.run(WrapperJarApp.java:451)
INFO   | jvm 2    | 2023/03/08 09:56:53 | 	at java.base/java.lang.Thread.run(Unknown Source)
INFO   | jvm 2    | 2023/03/08 09:56:53 | Caused by: java.net.ConnectException: Connection refused
