STATUS | wrapper  | 2023/03/08 09:56:45 | --> Wrapper Started as Console
STATUS | wrapper  | 2023/03/08 09:56:45 | Java Service Wrapper Standard Edition 64-bit 3.5.50
STATUS | wrapper  | 2023/03/08 09:56:45 |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2023/03/08 09:56:45 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2023/03/08 09:56:45 |   Licensed to ThoughtWorks for GoCD Server
STATUS | wrapper  | 2023/03/08 09:56:45 | 
STATUS | wrapper  | 2023/03/08 09:56:45 | Launching a JVM...
ERROR  | wrapper  | 2023/03/08 09:56:45 | Failed to set JVM input handle to non blocking mode: Bad file descriptor (9)
ERROR  | wrapper  | 2023/03/08 09:56:45 | Failed to set JVM input handle to close on JVM exit: Bad file descriptor (9)
ERROR  | wrapper  | 2023/03/08 09:56:45 | JVM exited while loading the application.
ERROR  | wrapper  | 2023/03/08 09:56:45 | Unable to set JVM's stdin: Bad file descriptor
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | --> Wrapper Started as Console
INFO   | jvm 1    | 2023/03/08 09:56:45 | ]0;go-serverwrapper  | Java Service Wrapper Standard Edition 64-bit 3.5.50
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |   Copyright (C) 1999-2022 Tanuki Software, Ltd. All Rights Reserved.
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |     http://wrapper.tanukisoftware.com
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  |   Licensed to ThoughtWorks for GoCD Server
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | 
INFO   | jvm 1    | 2023/03/08 09:56:45 | wrapper  | Launching a JVM...
STATUS | wrapper  | 2023/03/08 09:56:50 | Launching a JVM...
INFO   | jvm 2    | 2023/03/08 09:56:50 | WrapperManager: Initializing...
INFO   | jvm 2    | 2023/03/08 09:56:50 | [Wed Mar 08 09:56:50 GMT 2023] Starting process: 
INFO   | jvm 2    | 2023/03/08 09:56:50 | [Wed Mar 08 09:56:50 GMT 2023]   Working directory    : /go-working-dir
INFO   | jvm 2    | 2023/03/08 09:56:50 | [Wed Mar 08 09:56:50 GMT 2023]   Application arguments: []
INFO   | jvm 2    | 2023/03/08 09:56:50 | [Wed Mar 08 09:56:50 GMT 2023]            GoCD Version: 22.3.0-15301
INFO   | jvm 2    | 2023/03/08 09:56:50 | [Wed Mar 08 09:56:50 GMT 2023]            Java Version: 17.0.5
INFO   | jvm 2    | 2023/03/08 09:56:51 | [Wed Mar 08 09:56:50 GMT 2023]        Operating System: Linux(5.15.90.1-microsoft-standard-WSL2)
INFO   | jvm 2    | 2023/03/08 09:56:51 | Could not find file `config/logback.xml'. Attempting to load from classpath.
INFO   | jvm 2    | 2023/03/08 09:56:51 | Using classpath resource `jar:onejar:lib/server-launcher-22.3.0-15301-main.jar!/config/logback.xml'.
INFO   | jvm 2    | 2023/03/08 09:56:52 | 2023-03-08 09:56:52,190 INFO  [WrapperJarAppMain] Jetty9Server:193 - Configuring Jetty using /go-working-dir/config/jetty.xml
INFO   | jvm 2    | 2023/03/08 09:56:52 | 2023-03-08 09:56:52,296 WARN  [WrapperJarAppMain] Server:357 - ErrorPageMapper not supported for Server level Error Handling
INFO   | jvm 2    | 2023/03/08 09:56:52 | 2023-03-08 09:56:52,527 WARN  [WrapperJarAppMain] AbstractHandler:96 - No Server set for ResourceHandler@4784378c{STOPPED}
INFO   | jvm 2    | 2023/03/08 09:57:00 | 2023-03-08 09:57:00,353 WARN  [WrapperJarAppMain] ConnectionManager:117 - The file config/db.properties specified by `go.db.config` does not exist.
INFO   | jvm 2    | 2023/03/08 09:57:00 | 2023-03-08 09:57:00,612 INFO  [WrapperJarAppMain] DatabaseMigrator:40 - Upgrading database, this might take a while depending on the size of the database.
INFO   | jvm 2    | 2023/03/08 09:57:00 | ************************************************************************
INFO   | jvm 2    | 2023/03/08 09:57:00 | 2023-03-08 09:57:00,613 INFO  [WrapperJarAppMain] DatabaseMigrator:49 - ************************************************************************
INFO   | jvm 2    | 2023/03/08 09:57:00 | WARNING: Shutting down your server at this point will lead to a database corruption. Please wait until the database upgrade completes.
INFO   | jvm 2    | 2023/03/08 09:57:00 | 2023-03-08 09:57:00,614 INFO  [WrapperJarAppMain] DatabaseMigrator:49 - WARNING: Shutting down your server at this point will lead to a database corruption. Please wait until the database upgrade completes.
INFO   | jvm 2    | 2023/03/08 09:57:00 | ************************************************************************
INFO   | jvm 2    | 2023/03/08 09:57:00 | 2023-03-08 09:57:00,615 INFO  [WrapperJarAppMain] DatabaseMigrator:49 - ************************************************************************
INFO   | jvm 2    | 2023/03/08 09:57:00 | Mar 08, 2023 9:57:00 AM liquibase.database
INFO   | jvm 2    | 2023/03/08 09:57:00 | INFO: Set default schema name to PUBLIC
INFO   | jvm 2    | 2023/03/08 09:57:00 | Mar 08, 2023 9:57:00 AM liquibase.lockservice
INFO   | jvm 2    | 2023/03/08 09:57:00 | INFO: Successfully acquired change log lock
INFO   | jvm 2    | 2023/03/08 09:57:00 | Mar 08, 2023 9:57:00 AM liquibase.servicelocator
INFO   | jvm 2    | 2023/03/08 09:57:00 | INFO: Cannot load service: liquibase.parser.ChangeLogParser: liquibase.parser.core.json.JsonChangeLogParser Unable to get public no-arg constructor
INFO   | jvm 2    | 2023/03/08 09:57:00 | Mar 08, 2023 9:57:00 AM liquibase.servicelocator
INFO   | jvm 2    | 2023/03/08 09:57:00 | INFO: Cannot load service: liquibase.parser.ChangeLogParser: liquibase.parser.core.yaml.YamlChangeLogParser Unable to get public no-arg constructor
INFO   | jvm 2    | 2023/03/08 09:57:01 | Mar 08, 2023 9:57:01 AM liquibase.servicelocator
INFO   | jvm 2    | 2023/03/08 09:57:01 | INFO: Cannot load service: liquibase.change.Change: liquibase.change.core.LoadDataChange Unable to get public no-arg constructor
INFO   | jvm 2    | 2023/03/08 09:57:01 | Mar 08, 2023 9:57:01 AM liquibase.servicelocator
INFO   | jvm 2    | 2023/03/08 09:57:01 | INFO: Cannot load service: liquibase.change.Change: liquibase.change.core.LoadUpdateDataChange Unable to get public no-arg constructor
INFO   | jvm 2    | 2023/03/08 09:57:01 | Mar 08, 2023 9:57:01 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:01 | INFO: Reading resource: db-migration-scripts/migrations/2006.xml
INFO   | jvm 2    | 2023/03/08 09:57:01 | Mar 08, 2023 9:57:01 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:01 | INFO: Creating database history table with name: PUBLIC.DATABASECHANGELOG
INFO   | jvm 2    | 2023/03/08 09:57:01 | Mar 08, 2023 9:57:01 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:01 | INFO: Reading from PUBLIC.DATABASECHANGELOG
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:01 AM liquibase.servicelocator
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Cannot load service: liquibase.hub.HubService: Provider liquibase.hub.core.StandardHubService could not be instantiated
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/initialize.xml::0::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:01 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/initialize.xml::0::gocd(generated) ran successfully in 1ms
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/create-schema.xml::1::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Table ACCESSTOKEN created
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/create-schema.xml::1::gocd(generated) ran successfully in 10ms
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/create-schema.xml::2::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Table AGENTS created
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/create-schema.xml::2::gocd(generated) ran successfully in 7ms
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/create-schema.xml::3::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Table ARTIFACTPLANS created
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/create-schema.xml::3::gocd(generated) ran successfully in 4ms
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/create-schema.xml::4::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Table BUILDS created
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/create-schema.xml::4::gocd(generated) ran successfully in 4ms
INFO   | jvm 2    | 2023/03/08 09:57:02 | Running Changeset: db-migration-scripts/initial/create-schema.xml::5::gocd(generated)
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: Table BUILDSTATETRANSITIONS created
INFO   | jvm 2    | 2023/03/08 09:57:02 | Mar 08, 2023 9:57:02 AM liquibase.changelog
INFO   | jvm 2    | 2023/03/08 09:57:02 | INFO: ChangeSet db-migration-scripts/initial/create-schema.xml::5::gocd(generated) ran successfully in 2ms
